,College_Name,Location,State,Course,Rating,Reviews,Course_Fee
54,CMR Engineering College - [CMREC],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 75,000"
55,Geethanjali College of Engineering and Technology - [GCET] Keesara,Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,20,000"
56,Vidya Jyothi Institute of Technology - [VJIT],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,15,000"
57,Muffakham Jah College of Engineering & Technology - [MJCET],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,10,000"
58,College of Engineering  - [COEP],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 40,500"
59,Pimpri Chinchwad College of Engineering - [PCCOE],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,46,086"
60,Vishwakarma Institute of Technology,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,92,044"
61,Symbiosis Institute of Technology - [SIT],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 2,80,000"
62,AISSMS College of Engineering - [AISSMSCOE],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,40,251"
63,MIT-WPU Faculty of Engineering,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 3,10,000"
64,International Institute of Information Technology - [I²IT],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,20,079"
65,JSPM Narhe Technical Campus - [JSPM NTC] Narhe,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 3,60,000"
66,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 96,000"
67,SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,24,152"
68,Progressive Education Society's Modern College of Engineering - [MCOE],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,04,986"
69,Cusrow Wadia Institute of Technology,Pune, Maharashtra,Polytechnic,8.6,135,"₹ 71,000"
70,Sinhgad Academy of Engineering - [SAE] Kondhawa,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 97,000"
71,Defence Institute of Advanced Technology - [DIAT],Pune, Maharashtra,ME/M.Tech,8.6,135,"₹ 1,56,000"
72,Army Institute of Technology - [AIT],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 2,01,405"
73,Bharati Vidyapeeth Deemed University - [BVDU],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,57,500"
74,MIT World Peace University - [MIT-WPU],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 3,10,000"
75,Vishwakarma Institute of Information Technology - [VIIT],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,68,784"
76,MKSSS's Cummins College of Engineering for Women,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 2,07,265"
77,Indian Institute of Information Technology - [IIIT],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 2,35,700"
78,MIT Academy of Engineering - [MITAOE],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,75,737"
79,Jayawantrao Sawant College of Engineering- [JSCOE],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,12,500"
80,Pune Institute of Computer Technology- [PICT],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 92,000"
81,Vasantdada Sugar Institute - [VSI],Pune, Maharashtra,Certificate in Engineering,8.6,135,"₹ 37,000"
82,Dhole Patil College of Engineering - [DPCOE],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,04,424"
83,D. Y. Patil College of Engineering,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,23,998"
84,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,35,152"
85,Ajeenkya DY  Patil University - [ADYPU],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 2,30,000"
86,Modern Education Society's College of Engineering - [MES],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 1,21,850"
87,ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER],Pune, Maharashtra,BE/B.Tech,8.6,135,"₹ 67,000"
88,P.S.G College of Technology - [PSGCT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 55,000"
89,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 2,18,500"
90,Government College of Technology - [GCT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 9,180"
91,Sri Ramakrishna Engineering College - [SREC],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 55,000"
92,Karpagam College of Engineering - [KCE],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 75,500"
93,SNS College of Engineering - [SNSCE],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 3,00,000"
94,Dhanalakshmi Srinivasan College Of Engineering - [DSCE],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 50,000"
95,Ranganathan Engineering College - [REC],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 60,000"
96,Sri Shakthi Institute of Engineering and Technology - [SIET],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 50,000"
97,KPR Institute of Engineering & Technology - [KPRIET],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 96,900"
98,Park College of Engineering and Technology - [PCET],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 87,000"
99,Tamilnadu College of Engineering - [TNCE],Coimbatore, Tamil Nadu,ME/M.Tech,8.8,99,"₹ 1,00,000"
100,KGISL  Institute of Technology,Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 75,000"
101,Hindusthan Institute of Technology - [HITECH],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 1,25,000"
102,United Institute of Technology - [UIT],Coimbatore, Tamil Nadu,ME/M.Tech,8.8,99,"₹ 50,000"
103,Coimbatore Institute of Technology - [CIT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 25,800"
104,Kumaraguru College of Technology - [KCT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 1,00,200"
105,Sri Krishna College of Engineering and Technology - [SKCET],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 50,000"
106,Sri Krishna College of Technology - [SKCT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 2,00,000"
107,PSG Institute of Technology and Applied Research - [PSG iTech],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 89,800"
108,Amrita Vishwa Vidyapeetham,Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 3,00,000"
109,Sri Eshwar College of Engineering - [SECE],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 90,000"
110,Sri Ramakrishna Institute of Technology - [SRIT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 50,000"
111,Coimbatore Institute of Engineering and Technology - [CIET],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 55,000"
112,Kathir College of Engineering,Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 60,000"
113,Karpagam Institute of Technology,Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 80,500"
114,Kalaignar karunanidhi Institute of Technology - [KIT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 50,000"
115,Akshaya College of Engineering and Technology-[ACET],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 65,000"
116,Jansons Institute of Technology - [JIT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 92,500"
117,PPG Institute of Technology - [PPGIT],Coimbatore, Tamil Nadu,BE/B.Tech,8.8,99,"₹ 40,000"
118,R V College of Engineering - [RVCE],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 19,00,000"
119,BMS Institute of Technology and Management - [BMSIT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 2,00,000"
120,Dr. Ambedkar Institute of Technology - [AIT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 30,200"
121,Alliance College of Engineering and Design,Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 8,00,000"
122,Indian Institute of Science - [IISc],Bangalore, Karnataka,ME/M.Tech,7.9,294,"₹ 29,200"
123,REVA University,Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 18,00,000"
124,Presidency University,Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 2,25,000"
125,Acharya Institute of Technology - [AIT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 91,296"
126,Nettur Technical Training Foundation - [NTTF],Bangalore, Karnataka,Diploma in Engineering,7.9,294,"₹ 66,000"
127,AMC Engineering College - [AMC],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 1,60,500"
128,Global Academy of Technology - [GAT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 3,00,000"
129,Ramaiah Institute of Technology - [RIT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 86,226"
130,International Institute of Information Technology - [IIIT-B],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 1,96,000"
131,BMS College of Engineering - [BMSCE],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 3,50,000"
132,New Horizon College of Engineering - [NHCE],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 10,00,000"
133,"Faculty of Engineering and Technology, Jain University - [FET JU]",Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 2,10,000"
134,Dayananda Sagar College of Engineering - [DSCE],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 91,796"
135,PES University - [PESU],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 3,50,000"
136,B. N. M. Institute of Technology - [BNMIT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 65,360"
137,CMR Institute of Technology - [CMRIT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 3,34,000"
138,Christ University,Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 1,65,000"
139,Jain University - [JU],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 2,10,000"
140,Alliance University,Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 8,00,000"
141,CMR University - [CMRU],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 2,25,000"
142,Bangalore Institute of Technology - [BIT],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 2,35,000"
143,Garden City University - [GCU],Bangalore, Karnataka,M.Phil/Ph.D in Engineering,7.9,294,"₹ 1,19,000"
144,MVJ College of Engineering - [MVJCE],Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 1,03,806"
145,GITAM,Bangalore, Karnataka,BE/B.Tech,7.9,294,"₹ 2,05,000"
146,IIT Bombay - Indian Institute of Technology - [IITB],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 2,18,500"
147,National Institute of Industrial Engineering - [NITIE],Mumbai, Maharashtra,PG Diploma in Engineering,8.8,255,"₹ 5,98,000"
148,Sardar Patel College of Engineering - [SPCE],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,70,000"
149,Dwarkadas J Sanghvi College of Engineering - [DJSCE],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,99,826"
150,Amity University,Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 2,22,000"
151,Vidyalankar Institute of Technology - [VIT],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,50,790"
152,Don Bosco Institute of Technology - [DBIT],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,35,853"
153,International School of Engineering - [INSOFE],Mumbai, Maharashtra,ME/M.Tech,8.8,255,"₹ 41,84,831"
154,Pillai College of Engineering - [PCE] Navi Mumbai,Mumbai, Maharashtra,M.Phil/Ph.D in Engineering,8.8,255,"₹ 1,25,000"
155,St.  Francis Institute of Technology - [SFIT],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,30,000"
156,Shah and Anchor Kutchhi Engineering College - [SAKEC],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,33,263"
157,M H Saboo Siddik College of Engineering - [MHSSCOE],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,41,000"
158,Vasantdada Patil Pratishtan's College of Engineering & Visual Arts,Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,46,205"
159,Institute of Chemical Technology - [ICT],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 89,100"
160,Veermata Jijabai Technological Institute - [VJTI],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 85,551"
161,Mukesh Patel School of Technology Management and Engineering - [MPSTME],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 3,50,000"
162,Sardar Patel Institute of Technology - [SPIT],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,72,804"
163,K. J. Somaiya College of Engineering - [KJSCE],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 4,32,000"
164,Thakur College of Engineering and Technology - [TCET],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,58,176"
165,Tata Institute of Social Sciences - [TISS],Mumbai, Maharashtra,,8.8,255,
166,Atharva College of Engineering,Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,34,126"
167,Terna Engineering College Navi Mumbai,Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,20,000"
168,Rizvi College of Engineering - [RCOE],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,02,444"
169,Fr. Conceicao Rodrigues College of Engineering - [CRCE],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,62,000"
170,Kohinoor Technical Institute - [KTI],Mumbai, Maharashtra,,8.8,255,
171,Xavier Institute of Engineering - [XIE],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,57,499"
172,Suvidya Institute of Technology - [SIT],Mumbai, Maharashtra,,8.8,255,
173,Rajiv Gandhi Institute of Technology - [RGIT],Mumbai, Maharashtra,BE/B.Tech,8.8,255,"₹ 1,20,000"
174,Maulana Azad National Institute of Technology  - [MANIT],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 71,068"
175,"University Institute of Technology, Rajiv Gandhi Proudyogiki Vishwavidyalaya - [UIT- RGPV]",Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 23,920"
176,Rabindranath Tagore University - [RNTU],Bhopal, Madhya Pradesh,ME/M.Tech,7.9,353,"₹ 45,000"
177,LNCT University - [LNCTU],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 80,000"
178,Technocrats Institute of Technology - [TIT] (Excellence),Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 74,400"
179,Trinity Institute of Technology and Research,Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 53,000"
180,Sam College of Engineering and Technology - [SAMCET],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 55,000"
181,People's University,Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 80,000"
182,Technocrats Institute of Technology - [TIT],Bhopal, Madhya Pradesh,ME/M.Tech,7.9,353,"₹ 62,000"
183,Sarvepalli Radhakrishnan University - [SRK],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 50,000"
184,Madhyanchal Professional University - [MPU],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 40,000"
185,Bhopal Institute of Technology - [BIT],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 55,000"
186,Central Institute of Agricultural Engineering- [CIAE],Bhopal, Madhya Pradesh,M.Phil/Ph.D in Engineering,7.9,353,"₹ 67,855"
187,Oriental Institute of Science and Technology - [OIST],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 96,000"
188,VIT Bhopal University,Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 2,01,000"
189,RKDF University,Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 55,000"
190,Indian Institute of Information Technology -[IIIT],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 1,79,500"
191,Jagran Lakecity University - [JLU],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 1,05,000"
192,Lakshmi Narain College of Technology - [LNCT],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 1,19,400"
193, Sagar Group of Institutions,Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 3,40,000"
194,Bhabha University - [BU],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 44,000"
195,Central Institute of Plastics Engineering and Technology - [CIPET],Bhopal, Madhya Pradesh,Polytechnic,7.9,353,"₹ 42,750"
196,Patel College of Science and Technology - [PCST],Bhopal, Madhya Pradesh,Polytechnic,7.9,353,"₹ 32,300"
197,Truba College of Science and Technology - [TCST],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 60,000"
198,Bhopal Institute of Technology & Science - [BITS],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 55,000"
199,Jai Narain College of Technology & Science - [JNCTS],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 55,000"
200,IES University,Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 55,000"
201,Bhabha Engineering Research Institute - [BERI],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 44,000"
202,IES College of Technology - [ICOT],Bhopal, Madhya Pradesh,BE/B.Tech,7.9,353,"₹ 55,000"
203,Malaviya National Institute of Technology - [MNIT],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,77,665"
204,Banasthali Vidyapith,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,39,000"
205,Suresh Gyan Vihar University - [SGVU],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,20,000"
206,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]",Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,08,300"
207,University of Engineering and Management - [UEM],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,00,000"
208,Birla Institute of Technology - [BIT],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 3,00,500"
209,Jaipur Engineering College - [JEC],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 85,000"
210,ICFAI University,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,20,000"
211,Rajasthan Institute of Engineering and Technology - [RIET],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 85,000"
212,Anand International College of Engineering,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 85,000"
213,Yagyavalkya Institute of Technology - [YIT],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 92,515"
214,Manipal University - [MUJ],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 3,34,000"
215,The LNM Institute of Information Technology - [LNMIIT],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 3,74,800"
216,Jaipur National University - [JNU],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 4,86,000"
217,JECRC University - [JU],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 2,20,000"
218,NIMS University,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,00,000"
219,Amity University,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,80,000"
220,Poornima University - [PU],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,27,500"
221,Jagannath University,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,00,000"
222,Poornima College of Engineering,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 1,70,000"
223,Jaipur Engineering College and Research Centre,Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 92,000"
224,Jayoti Vidyapeeth Women's University - [JVWU],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 80,000"
225,Asians Institute of Technology,Jaipur, Rajasthan,Polytechnic,8.4,353,"₹ 1,08,600"
226,University of Technology - [UOT],Jaipur, Rajasthan,M.Phil/Ph.D in Engineering,8.4,353,"₹ 1,05,000"
227,Vivekananda Institute of Technology - [VIT],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 88,000"
228,Pratap University - [PU],Jaipur, Rajasthan,BE/B.Tech,8.4,353,"₹ 3,87,000"
229,CIPET- Institute Of Plastics Technology - [IPT],Lucknow, Uttar Pradesh,BE/B.Tech,7.9,198,"₹ 2,00,000"
230,Maharishi University of Information Technology - [MUIT],Lucknow, Uttar Pradesh,M.Phil/Ph.D in Engineering,7.9,198,"₹ 1,00,000"
